filename,width,height,class,xmin,ymin,xmax,ymax
0000f2101250b009.jpg,1024,683,Goat,49,116,339,681
0000f2101250b009.jpg,1024,683,Goat,325,185,773,681
0000f2101250b009.jpg,1024,683,Goat,673,105,1021,678
0000f2101250b009_augmented_0.jpg,1024,683,Goat,99,64,383,682
0000f2101250b009_augmented_0.jpg,1024,683,Goat,331,149,742,682
0000f2101250b009_augmented_0.jpg,1024,683,Goat,622,51,956,682
0000f2101250b009_augmented_1.jpg,1024,683,Goat,753,80,1023,682
0000f2101250b009_augmented_1.jpg,1024,683,Goat,147,160,773,682
0000f2101250b009_augmented_1.jpg,1024,683,Goat,0,68,287,682
000107d1d5876a7d.jpg,1024,704,Squirrel,305,0,674,659
000107d1d5876a7d_augmented_0.jpg,1024,704,Squirrel,325,34,771,703
0007b0e38f812fc8.jpg,1024,767,Deer,277,249,901,697
007e16be6a1fba04_augmented_6.jpg,1024,734,Brown_bear,597,110,848,580
00825046e44abd2f.jpg,989,768,Squirrel,191,327,922,547
00825046e44abd2f_augmented_0.jpg,989,768,Squirrel,152,308,904,526
00833d3a8bfeaf9d.jpg,1024,680,Owl,0,40,595,679
00833d3a8bfeaf9d.jpg,1024,680,Owl,494,112,1023,679
00833d3a8bfeaf9d_augmented_0.jpg,1024,680,Owl,150,142,571,563
00833d3a8bfeaf9d_augmented_0.jpg,1024,680,Owl,499,189,872,563
00833d3a8bfeaf9d_augmented_1.jpg,1024,680,Owl,9,39,499,565
00833d3a8bfeaf9d_augmented_1.jpg,1024,680,Owl,416,98,852,565
00833d3a8bfeaf9d_augmented_2.jpg,1024,680,Owl,82,175,703,577
00833d3a8bfeaf9d_augmented_2.jpg,1024,680,Owl,598,220,1023,577
00834271f9a15cdc.jpg,683,1024,Squirrel,330,453,498,600
3f1330007b93acd5_augmented_2.jpg,1024,819,Brown_bear,164,163,782,699
3f1330007b93acd5_augmented_3.jpg,1024,819,Brown_bear,144,169,809,692
3f1330007b93acd5_augmented_4.jpg,1024,819,Brown_bear,0,288,599,815
3f1330007b93acd5_augmented_5.jpg,1024,819,Brown_bear,263,272,1016,777
3f1411fbda1b197f.jpg,1024,1024,Squirrel,152,33,927,630
3f162e7158ec18dd.jpg,1024,681,Deer,449,238,620,461
3f5553e403e47396.jpg,894,1024,Owl,253,167,667,999
3f5bc591b1e06c82.jpg,1024,682,Squirrel,0,58,691,600
1aaaefd3234ff51e.jpg,1024,836,Brown_bear,0,38,885,769
1aaaefd3234ff51e_augmented_0.jpg,1024,836,Brown_bear,57,85,943,816
1aaaefd3234ff51e_augmented_1.jpg,1024,836,Brown_bear,0,0,839,735
1aaaefd3234ff51e_augmented_2.jpg,1024,836,Brown_bear,5,177,1023,640
1aaaefd3234ff51e_augmented_3.jpg,1024,836,Brown_bear,0,138,645,835
1aaaefd3234ff51e_augmented_4.jpg,1024,836,Brown_bear,89,78,975,809
1aaaefd3234ff51e_augmented_5.jpg,1024,836,Brown_bear,0,183,847,835
1aaf4180365a501c.jpg,1024,768,Deer,540,501,919,767
1aaf4180365a501c_augmented_0.jpg,1024,768,Deer,561,499,944,759
1ab37a8a40aec7c6.jpg,1024,683,Rabbit,0,0,1023,682
1ab37a8a40aec7c6_augmented_0.jpg,1024,683,Rabbit,301,204,1023,682
1ab37a8a40aec7c6_augmented_1.jpg,1024,683,Rabbit,11,24,1012,658
1ab37a8a40aec7c6_augmented_2.jpg,1024,683,Rabbit,0,0,1023,682
1ab94931e92bc0ee.jpg,1024,768,Goat,139,68,819,691
0007b0e38f812fc8_augmented_0.jpg,1024,767,Deer,171,266,716,657
75023a8b893c7668_augmented_3.jpg,1024,1024,Brown_bear,363,685,732,1023
75023a8b893c7668_augmented_3.jpg,1024,1024,Brown_bear,965,493,1023,742
75023a8b893c7668_augmented_4.jpg,1024,1024,Brown_bear,208,444,478,698
75023a8b893c7668_augmented_4.jpg,1024,1024,Brown_bear,649,303,769,485
75023a8b893c7668_augmented_5.jpg,1024,1024,Brown_bear,166,381,602,747
75023a8b893c7668_augmented_5.jpg,1024,1024,Brown_bear,878,179,1023,441
75023a8b893c7668_augmented_6.jpg,1024,1024,Brown_bear,616,339,1023,760
75023a8b893c7668_augmented_6.jpg,1024,1024,Brown_bear,123,63,353,375
75059e818b5d950b.jpg,1024,775,Owl,390,268,565,522
75059e818b5d950b_augmented_0.jpg,1024,775,Owl,310,176,485,430
75059e818b5d950b_augmented_1.jpg,1024,775,Owl,436,303,545,482
0945ece2861553ce.jpg,1024,825,Brown_bear,280,0,966,824
0945ece2861553ce_augmented_0.jpg,1024,825,Brown_bear,5,58,949,824
0945ece2861553ce_augmented_1.jpg,1024,825,Brown_bear,0,0,699,590
0945ece2861553ce_augmented_2.jpg,1024,825,Brown_bear,0,189,508,824
0945ece2861553ce_augmented_3.jpg,1024,825,Brown_bear,27,0,792,689
0945ece2861553ce_augmented_4.jpg,1024,825,Brown_bear,0,77,647,824
0945ece2861553ce_augmented_5.jpg,1024,825,Brown_bear,111,0,761,733
c154a1c43a814754_augmented_3.jpg,1024,682,Brown_bear,588,0,1023,556
c154a1c43a814754_augmented_4.jpg,1024,682,Brown_bear,670,377,926,681
c154a1c43a814754_augmented_5.jpg,1024,682,Brown_bear,114,99,313,485
c154a1c43a814754_augmented_6.jpg,1024,682,Brown_bear,291,3,636,681
c15cad39e2962abe.jpg,1024,682,Goat,73,144,542,537
c15cad39e2962abe.jpg,1024,682,Goat,501,327,1009,646
c15cad39e2962abe_augmented_0.jpg,1024,682,Goat,471,106,1023,575
c15cad39e2962abe_augmented_0.jpg,1024,682,Goat,0,325,526,681
c15cad39e2962abe_augmented_1.jpg,1024,682,Goat,51,170,598,511
c15cad39e2962abe_augmented_1.jpg,1024,682,Goat,411,329,972,606
c1616711b199a272.jpg,1024,678,Rabbit,163,3,803,569
c1616711b199a272_augmented_0.jpg,1024,678,Rabbit,167,27,924,553
c1616711b199a272_augmented_1.jpg,1024,678,Rabbit,280,0,920,529
c1616711b199a272_augmented_2.jpg,1024,678,Rabbit,473,0,1023,402
c1731a7ad7fb2bf2.jpg,1024,768,Goat,263,250,552,522
c1731a7ad7fb2bf2.jpg,1024,768,Goat,517,245,929,551
c1731a7ad7fb2bf2_augmented_0.jpg,1024,768,Goat,439,97,733,373
c1731a7ad7fb2bf2_augmented_0.jpg,1024,768,Goat,697,92,1023,402
c1731a7ad7fb2bf2_augmented_1.jpg,1024,768,Goat,460,250,771,522
c1731a7ad7fb2bf2_augmented_1.jpg,1024,768,Goat,81,245,517,551
2e8fb2f4f601cc14_augmented_0.jpg,1024,1024,Brown_bear,561,147,836,294
2e8fb2f4f601cc14_augmented_0.jpg,1024,1024,Brown_bear,563,312,915,706
2e8fb2f4f601cc14_augmented_1.jpg,1024,1024,Brown_bear,582,267,890,404
2e8fb2f4f601cc14_augmented_1.jpg,1024,1024,Brown_bear,702,422,1023,793
2e8fb2f4f601cc14_augmented_2.jpg,1024,1024,Brown_bear,475,337,886,448
2e8fb2f4f601cc14_augmented_2.jpg,1024,1024,Brown_bear,367,462,948,760
2e8fb2f4f601cc14_augmented_3.jpg,1024,1024,Brown_bear,249,342,504,490
2e8fb2f4f601cc14_augmented_3.jpg,1024,1024,Brown_bear,147,509,444,906
2e8fb2f4f601cc14_augmented_4.jpg,1024,1024,Brown_bear,584,442,896,578
2e8fb2f4f601cc14_augmented_4.jpg,1024,1024,Brown_bear,708,596,1023,963
2e8fb2f4f601cc14_augmented_5.jpg,1024,1024,Brown_bear,349,242,604,390
2e8fb2f4f601cc14_augmented_5.jpg,1024,1024,Brown_bear,247,409,544,806
2e9474fa9277fb48.jpg,1024,732,Brown_bear,140,0,1022,730
2e9474fa9277fb48_augmented_0.jpg,1024,732,Brown_bear,116,55,998,731
08edadfeb9e6ddc1_augmented_0.jpg,1024,678,Brown_bear,221,179,1023,677
08edadfeb9e6ddc1_augmented_1.jpg,1024,678,Brown_bear,605,94,838,649
08edadfeb9e6ddc1_augmented_2.jpg,1024,678,Brown_bear,20,342,349,677
08edadfeb9e6ddc1_augmented_3.jpg,1024,678,Brown_bear,442,259,608,568
08edadfeb9e6ddc1_augmented_4.jpg,1024,678,Brown_bear,565,359,833,677
08edadfeb9e6ddc1_augmented_5.jpg,1024,678,Brown_bear,376,251,832,664
08edadfeb9e6ddc1_augmented_6.jpg,1024,678,Brown_bear,297,215,665,677
53588b11886f823d_augmented_1.jpg,1024,683,Brown_bear,0,0,732,511
53588b11886f823d_augmented_2.jpg,1024,683,Brown_bear,192,0,892,511
53588b11886f823d_augmented_3.jpg,1024,683,Brown_bear,29,151,860,521
53588b11886f823d_augmented_4.jpg,1024,683,Brown_bear,209,150,733,559
53588b11886f823d_augmented_5.jpg,1024,683,Brown_bear,252,81,899,587
53588b11886f823d_augmented_6.jpg,1024,683,Brown_bear,175,75,986,592
535ba72c161b6b16.jpg,1024,647,Deer,76,139,272,487
535ba72c161b6b16.jpg,1024,647,Deer,213,140,357,469
535ba72c161b6b16.jpg,1024,647,Deer,510,148,759,472
535ba72c161b6b16.jpg,1024,647,Deer,658,167,986,508
535ba72c161b6b16_augmented_0.jpg,1024,647,Deer,0,0,68,335
535ba72c161b6b16_augmented_0.jpg,1024,647,Deer,0,0,154,324
535ba72c161b6b16_augmented_0.jpg,1024,647,Deer,215,0,583,373
535ba72c161b6b16_augmented_0.jpg,1024,647,Deer,366,0,843,450
535dce91f82992f4.jpg,1024,768,Owl,322,34,678,382
535dce91f82992f4.jpg,1024,768,Owl,458,371,771,719
535dce91f82992f4_augmented_0.jpg,1024,768,Owl,368,0,672,381
